127.0.0.1, 2018-10-25 22:36:55, GET, /admin/default/ticket/welcome/127.0.0.1.2018-10-25.22-36-48.1924d249-b313-4c07-a3a8-868973b46426, HTTP/1.1, 200, 0.098471
127.0.0.1, 2018-10-25 22:36:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000479
127.0.0.1, 2018-10-25 22:39:14, GET, /, HTTP/1.1, 303, 0.021558
127.0.0.1, 2018-10-25 22:39:14, GET, /welcome/default/index, HTTP/1.1, 500, 0.598722
127.0.0.1, 2018-10-25 22:39:15, GET, /favicon.ico, HTTP/1.1, 400, 0.000327
127.0.0.1, 2018-10-25 22:39:17, GET, /admin/default/ticket/welcome/127.0.0.1.2018-10-25.22-39-14.293d2324-70ed-4bad-b434-584c0c8335a2, HTTP/1.1, 200, 0.281363
127.0.0.1, 2018-10-25 22:39:17, GET, /favicon.ico, HTTP/1.1, 400, 0.000345
127.0.0.1, 2018-10-25 22:43:51, GET, /, HTTP/1.1, 303, 0.008262
127.0.0.1, 2018-10-25 22:43:51, GET, /welcome/default/index, HTTP/1.1, 200, 0.557679
127.0.0.1, 2018-10-25 22:43:53, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.002129
127.0.0.1, 2018-10-25 22:43:56, GET, /admin/default/site, HTTP/1.1, 200, 0.532744
127.0.0.1, 2018-10-25 22:43:56, POST, /admin/default/check_version, HTTP/1.1, 200, 0.283149
127.0.0.1, 2018-10-25 22:43:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000266
127.0.0.1, 2018-10-25 22:43:59, GET, /start/default/index, HTTP/1.1, 200, 0.174205
127.0.0.1, 2018-10-25 22:44:00, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.002160
127.0.0.1, 2018-10-25 22:44:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000434
127.0.0.1, 2018-10-25 22:44:01, GET, /start/default/add, HTTP/1.1, 303, 0.023929
127.0.0.1, 2018-10-25 22:44:01, GET, /start/default/user/login, HTTP/1.1, 200, 0.040913
127.0.0.1, 2018-10-25 22:44:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000344
127.0.0.1, 2018-10-25 22:44:04, GET, /start/default/user/register, HTTP/1.1, 200, 0.025522
127.0.0.1, 2018-10-25 22:44:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000270
127.0.0.1, 2018-10-25 22:44:19, POST, /start/default/user/register, HTTP/1.1, 500, 0.133349
127.0.0.1, 2018-10-25 22:44:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000273
127.0.0.1, 2018-10-25 22:44:21, GET, /admin/default/ticket/start/127.0.0.1.2018-10-25.22-44-19.456b22ae-1a74-4d57-8f53-f751a569ac13, HTTP/1.1, 200, 0.100845
127.0.0.1, 2018-10-25 22:44:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000288
127.0.0.1, 2018-10-25 22:52:00, GET, /, HTTP/1.1, 303, 0.015364
